5.25,0.1125,1.38687e-41,9.44816e-43,1.06625e-41
5.25,0.2,4.22791e-41,2.56675e-42,3.04873e-41
5.25,0.2875,4.83214e-41,2.91779e-42,3.70647e-41
5.25,0.3625,6.16827e-41,4.15315e-42,4.88498e-41
5.25,0.4375,6.68945e-41,4.83029e-42,5.48265e-41
5.25,0.5125,6.54451e-41,3.56028e-42,5.28488e-41
5.25,0.625,1.13469e-40,4.49843e-42,8.67189e-41
5.25,0.775,7.87279e-41,3.33892e-42,6.0717e-41
5.25,0.925,4.48676e-41,2.79523e-42,3.49622e-41
5.25,1.125,3.28135e-41,2.45181e-42,2.46449e-41
5.25,1.375,9.04793e-42,1.11886e-42,6.99008e-42
5.25,2,2.3804e-42,5.85679e-43,1.7519e-42
5.75,0.0375,3.61618e-42,2.76224e-43,2.47307e-42
5.75,0.1125,1.29879e-41,8.3446e-43,1.03658e-41
5.75,0.2,4.03562e-41,2.35379e-42,2.99752e-41
5.75,0.2875,4.58216e-41,2.52257e-42,3.66254e-41
5.75,0.3625,5.77254e-41,3.26847e-42,4.84073e-41
5.75,0.4375,6.25969e-41,3.15603e-42,5.3293e-41
5.75,0.5125,6.19075e-41,2.95643e-42,5.143e-41
5.75,0.625,1.06881e-40,4.68338e-42,8.38395e-41
5.75,0.775,7.23883e-41,3.77388e-42,5.80813e-41
5.75,0.925,4.15054e-41,2.0184e-42,3.29223e-41
5.75,1.125,2.81824e-41,2.2417e-42,2.19401e-41
5.75,1.375,7.54501e-42,8.37725e-43,5.89794e-42
5.75,2,1.74127e-42,5.23468e-43,1.42556e-42
6.5,0.0375,5.69704e-42,3.82458e-43,4.07285e-42
6.5,0.1125,2.03907e-41,1.30498e-42,1.7147e-41
6.5,0.2,6.465e-41,2.64776e-42,4.89573e-41
6.5,0.2875,7.42225e-41,3.0357e-42,6.06441e-41
6.5,0.3625,8.93836e-41,3.55288e-42,7.76597e-41
6.5,0.4375,9.96497e-41,4.40096e-42,8.59206e-41
6.5,0.5125,9.61084e-41,4.83779e-42,8.30185e-41
6.5,0.625,1.63711e-40,8.95554e-42,1.32423e-40
6.5,0.775,1.08523e-40,8.03457e-42,8.91226e-41
6.5,0.925,5.83433e-41,5.21822e-42,4.86398e-41
6.5,1.125,4.05595e-41,5.09569e-42,3.15558e-41
6.5,1.375,9.98938e-42,1.26006e-42,7.69796e-42
6.5,2,2.491e-42,4.19555e-43,1.96769e-42
7.5,0.0375,3.1735e-42,3.62439e-43,2.16542e-42
7.5,0.1125,1.18775e-41,8.36115e-43,9.53765e-42
7.5,0.2,3.58412e-41,2.00048e-42,2.7292e-41
7.5,0.2875,4.13688e-41,2.29374e-42,3.31753e-41
7.5,0.3625,5.05138e-41,3.52744e-42,4.3151e-41
7.5,0.4375,5.6306e-41,4.40268e-42,4.75374e-41
7.5,0.5125,5.36799e-41,3.96884e-42,4.49259e-41
7.5,0.625,8.91661e-41,6.27898e-42,7.07462e-41
7.5,0.775,5.80653e-41,4.80051e-42,4.6134e-41
7.5,0.925,3.01604e-41,3.35577e-42,2.48205e-41
